epoch,temp,train_corr,val_corr,train_corr_loss,val_corr_loss,actor_loss,critic_loss,design_var
1,1.0,tensor(0.0096),-0.2864721690018972,tensor(0.9904),1.2864721690018972,0.08517258148026048,0.01592487448159923,0.0013628310275247745
2,1.0,tensor(-0.0040),-0.2977160251935323,tensor(1.0040),1.2977160251935322,-0.6032481378421449,0.015995475831071273,0.0013814322966265312
3,1.0,tensor(0.0122),0.3111742612918218,tensor(0.9878),0.6888257387081782,0.4661447749221534,0.015124463896034158,0.001393070728093255
4,1.0,tensor(0.0484),0.2998137981891632,tensor(0.9516),0.7001862018108368,0.26789055198535583,0.017289961092219624,0.0013157883785305578
5,1.0,tensor(0.1223),0.5817315462430318,tensor(0.8777),0.4182684537569682,1.6194586487067373,0.016067191062976122,0.0014384808483974714
6,1.0,tensor(0.2881),-1.1426384389778833e-09,tensor(0.7119),1.0000000011426384,0.5700994435778836,0.013758168809118041,0.0018884074707727944
7,1.0,tensor(0.3042),-1.1426384389778833e-09,tensor(0.6958),1.0000000011426384,0.19017651352547763,0.011744706729501399,0.0014716965579999644
8,1.0,tensor(0.4019),1.1426384389778833e-09,tensor(0.5981),0.9999999988573616,0.15004375350266172,0.010693400591670772,0.0016320740719685297
9,1.0,tensor(0.4125),-1.1426384389778833e-09,tensor(0.5875),1.0000000011426384,0.39842888684440075,0.009148711370818149,0.0020400690226897336
10,1.0,tensor(0.3991),-0.47201218978563947,tensor(0.6009),1.4720121897856395,-0.556067138575671,0.01119903912559516,0.0018969500086090543
11,1.0,tensor(0.4057),-1.1426384389778833e-09,tensor(0.5943),1.0000000011426384,0.48942991691723203,0.011981371910402678,0.001724067778212198
12,1.0,tensor(0.4771),0.6879625857671102,tensor(0.5229),0.3120374142328898,0.5249433501059549,0.008664071856908947,0.0018586992647237422
13,1.0,tensor(0.5533),0.5326331427892049,tensor(0.4467),0.4673668572107951,0.21614995793606107,0.006988015756879994,0.0019364830948935265
14,1.0,tensor(0.6023),0.3476198581059774,tensor(0.3977),0.6523801418940226,0.056658731501353414,0.005320333192017522,0.002218320868680613
15,1.0,tensor(0.6036),-0.25490967007478077,tensor(0.3964),1.2549096700747808,0.06060528480640629,0.005129327405473629,0.002079569760481255
16,1.0,tensor(0.6224),0.598854666074117,tensor(0.3776),0.40114533392588303,0.06455545796009532,0.005370940574292658,0.0022273367347783947
